Product Name,Price,Image URL,Local Image Path,Product Page
Amber Bloom,$44.99 USD$49.99 USD,,product_images/Amber_Bloom.jpg,https://ersanails.com/collections/all/products/amber-bloom
Floral Dreamland,$44.99 USD,,product_images/Floral_Dreamland.jpg,https://ersanails.com/collections/all/products/floral-dreamland
Déjà vu,$49.99 USD,,product_images/Déjà_vu.jpg,https://ersanails.com/collections/all/products/deja-vu
Pixie,$44.99 USD,,product_images/Pixie.jpg,https://ersanails.com/collections/all/products/pixie
Honolulu,$59.99 USD,,product_images/Honolulu.jpg,https://ersanails.com/collections/all/products/honolulu
Ersa Cat Eye Series,$29.99 USD,,product_images/Ersa_Cat_Eye_Series.jpg,https://ersanails.com/collections/all/products/ersa-cat-eye-series
My Happy Hour,$44.99 USD,,product_images/My_Happy_Hour.jpg,https://ersanails.com/collections/all/products/my-happy-hour
Golden Shoreline,$49.99 USD,,product_images/Golden_Shoreline.jpg,https://ersanails.com/collections/all/products/golden-shoreline
Lush Green,$44.99 USD$49.99 USD,,product_images/Lush_Green.jpg,https://ersanails.com/collections/all/products/lush-green
Spiced Bloom,$44.99 USD,,product_images/Spiced_Bloom.jpg,https://ersanails.com/collections/all/products/spiced-bloom
Ersa Mystery Box,From $24.99 USD,,product_images/Ersa_Mystery_Box.jpg,https://ersanails.com/collections/all/products/ersa-mystery-box
Venus,$44.99 USD,,product_images/Venus.jpg,https://ersanails.com/collections/all/products/venus
Artemis' Glint,$44.99 USD,,product_images/Artemis_Glint.jpg,https://ersanails.com/collections/all/products/artemis-glint
Armageddon,$44.99 USD,,product_images/Armageddon.jpg,https://ersanails.com/collections/all/products/armageddon
Siren,$44.99 USD,,product_images/Siren.jpg,https://ersanails.com/collections/all/products/siren
Supernova,$49.99 USD,,product_images/Supernova.jpg,https://ersanails.com/collections/all/products/supernova
Amethyst Glow,$44.99 USD,,product_images/Amethyst_Glow.jpg,https://ersanails.com/collections/all/products/amethyst-glow
Glowing Beach,$44.99 USD,,product_images/Glowing_Beach.jpg,https://ersanails.com/collections/all/products/glowing-beach
Neon Twist,$34.99 USD,,product_images/Neon_Twist.jpg,https://ersanails.com/collections/all/products/neon-twist
Very Berry Lemonade,$49.99 USD,,product_images/Very_Berry_Lemonade.jpg,https://ersanails.com/collections/all/products/very-berry-lemonade
Seafoam,$39.99 USD,,product_images/Seafoam.jpg,https://ersanails.com/collections/all/products/seafoam
Kaleidoscope,$49.99 USD$54.99 USD,,product_images/Kaleidoscope.jpg,https://ersanails.com/collections/all/products/kaleidoscope-1
Bahamas,$49.99 USD,,product_images/Bahamas.jpg,https://ersanails.com/collections/all/products/bahamas
Eldorado,$44.99 USD,,product_images/Eldorado.jpg,https://ersanails.com/collections/all/products/eldorado
Forest Elf,$64.99 USD$69.99 USD,,product_images/Forest_Elf.jpg,https://ersanails.com/collections/all/products/forest-elf-1
Enchanted Forest,$114.99 USD$144.97 USD,,product_images/Enchanted_Forest.jpg,https://ersanails.com/collections/all/products/enchanted-forest
Yinyang,$44.99 USD$49.99 USD,,product_images/Yinyang.jpg,https://ersanails.com/collections/all/products/yinyang
Velvet Rouge,$49.99 USD$54.99 USD,,product_images/Velvet_Rouge.jpg,https://ersanails.com/collections/all/products/velvet-rouge
Indigo Aristocracy,$49.99 USD$64.99 USD,,product_images/Indigo_Aristocracy.jpg,https://ersanails.com/collections/all/products/indigo-aristocracy
Moonlit Bamboo,$39.99 USD$44.88 USD,,product_images/Moonlit_Bamboo.jpg,https://ersanails.com/collections/all/products/moonlit-bamboo
Desert Flower,$49.99 USD,,product_images/Desert_Flower.jpg,https://ersanails.com/collections/all/products/desert-flower
For the Night,$49.99 USD,,product_images/For_the_Night.jpg,https://ersanails.com/collections/all/products/for-the-night
Amber Whisper,$39.99 USD,,product_images/Amber_Whisper.jpg,https://ersanails.com/collections/all/products/amber-whisper
Mocha Mist,$39.99 USD,,product_images/Mocha_Mist.jpg,https://ersanails.com/collections/all/products/mocha-mist
Ersa Cat Eye Series - Gemstone Edition,$29.99 USD,,product_images/Ersa_Cat_Eye_Series_-_Gemstone_Edition.jpg,https://ersanails.com/collections/all/products/ersa-cat-eye-series-gemstone-edition
Deep Woods,$44.99 USD,,product_images/Deep_Woods.jpg,https://ersanails.com/collections/all/products/deep-woods
Blue Oasis,$49.99 USD,,product_images/Blue_Oasis.jpg,https://ersanails.com/collections/all/products/blue-oasis
Citrus Candy,$39.99 USD,,product_images/Citrus_Candy.jpg,https://ersanails.com/collections/all/products/citrus-candy
Petal Dance,$44.99 USD$49.99 USD,,product_images/Petal_Dance.jpg,https://ersanails.com/collections/all/products/petal-dance
Lemon Drop,$44.99 USD$49.99 USD,,product_images/Lemon_Drop.jpg,https://ersanails.com/collections/all/products/lemon-drop
Blush Peony,$44.99 USD$49.99 USD,,product_images/Blush_Peony.jpg,https://ersanails.com/collections/all/products/blush-peony
Lighten Up,$94.99 USD$124.97 USD,,product_images/Lighten_Up.jpg,https://ersanails.com/collections/all/products/lighten-up
Aurora’s Touch,$39.99 USD,,product_images/Auroras_Touch.jpg,https://ersanails.com/collections/all/products/aurora-s-touch
Into the Warmth,$44.99 USD$49.99 USD,,product_images/Into_the_Warmth.jpg,https://ersanails.com/collections/all/products/into-the-warmth
Moonlit Romance,$49.99 USD,,product_images/Moonlit_Romance.jpg,https://ersanails.com/collections/all/products/moonlit-romance
Ersa Nude Series,$29.99 USD,,product_images/Ersa_Nude_Series.jpg,https://ersanails.com/collections/all/products/ersa-nude-series
Enchanted Florals,$44.99 USD$49.99 USD,,product_images/Enchanted_Florals.jpg,https://ersanails.com/collections/all/products/enchanted-florals
Ersa French Tip Series,$29.99 USD,,product_images/Ersa_French_Tip_Series.jpg,https://ersanails.com/collections/all/products/ersa-french-tip-series
Lily of the Valley,$44.99 USD,,product_images/Lily_of_the_Valley.jpg,https://ersanails.com/collections/all/products/lily-of-the-valley
Rosy Shimmer,$39.99 USD,,product_images/Rosy_Shimmer.jpg,https://ersanails.com/collections/all/products/rosy-shimmer
Beyond the Sea,$39.99 USD,,product_images/Beyond_the_Sea.jpg,https://ersanails.com/collections/all/products/beyond-the-sea
Never-ending Summer,$49.99 USD,,product_images/Never-ending_Summer.jpg,https://ersanails.com/collections/all/products/never-ending-summer
Surf’s Up,$44.99 USD$49.99 USD,,product_images/Surfs_Up.jpg,https://ersanails.com/collections/all/products/surf-s-up
A Touch of Gold,$39.99 USD$44.99 USD,,product_images/A_Touch_of_Gold.jpg,https://ersanails.com/collections/all/products/a-touch-of-gold
Ersa C09 - Pink Garnet,$29.99 USD,,product_images/Ersa_C09_-_Pink_Garnet.jpg,https://ersanails.com/collections/all/products/ersa-c09-pink-garnet
On My Way,$54.99 USD,,product_images/On_My_Way.jpg,https://ersanails.com/collections/all/products/on-my-way
Insane,$49.99 USD,,product_images/Insane.jpg,https://ersanails.com/collections/all/products/insane
Rebel Heart,$44.99 USD,,product_images/Rebel_Heart.jpg,https://ersanails.com/collections/all/products/rebel-heart
Starry Olive,$44.99 USD,,product_images/Starry_Olive.jpg,https://ersanails.com/collections/all/products/starry-olive
From the Garden,$39.99 USD,,product_images/From_the_Garden.jpg,https://ersanails.com/collections/all/products/from-the-garden
Shining,$39.99 USD,,product_images/Shining.jpg,https://ersanails.com/collections/all/products/shining
Spellbound,$44.99 USD,,product_images/Spellbound.jpg,https://ersanails.com/collections/all/products/spellbound
Interstellar,$49.99 USD,,product_images/Interstellar.jpg,https://ersanails.com/collections/all/products/interstellar
The Abyss,$54.99 USD,,product_images/The_Abyss.jpg,https://ersanails.com/collections/all/products/the-abyss
Ersa C10 - Ocean Eyes,$29.99 USD,,product_images/Ersa_C10_-_Ocean_Eyes.jpg,https://ersanails.com/collections/all/products/ersa-c10-ocean-eyes
Dancing Blossoms,$54.99 USD$58.88 USD,,product_images/Dancing_Blossoms.jpg,https://ersanails.com/collections/all/products/dancing-blossoms
Frosted Pearl,$39.99 USD,,product_images/Frosted_Pearl.jpg,https://ersanails.com/collections/all/products/frosted-pearl
Chic Cat Eye Series,$34.99 USD,,product_images/Chic_Cat_Eye_Series.jpg,https://ersanails.com/collections/all/products/chic-cat-eye-series
Dune Glimmer,$49.99 USD,,product_images/Dune_Glimmer.jpg,https://ersanails.com/collections/all/products/dune-glimmer
Boho Turquoise,$44.99 USD,,product_images/Boho_Turquoise.jpg,https://ersanails.com/collections/all/products/boho-turquoise
Enigma,$44.99 USD$49.99 USD,,product_images/Enigma.jpg,https://ersanails.com/collections/all/products/enigma
Like A Star,$59.99 USD,,product_images/Like_A_Star.jpg,https://ersanails.com/collections/all/products/like-a-star
Berry Frappé,$44.99 USD$49.99 USD,,product_images/Berry_Frappé.jpg,https://ersanails.com/collections/all/products/berry-frappe
Fairydust,$39.99 USD,,product_images/Fairydust.jpg,https://ersanails.com/collections/all/products/fairydust
Rosé Divinity,$69.99 USD,,product_images/Rosé_Divinity.jpg,https://ersanails.com/collections/all/products/rose-divinity
Sweetheart,$34.99 USD,,product_images/Sweetheart.jpg,https://ersanails.com/collections/all/products/sweetheart
Dazzle,$44.99 USD,,product_images/Dazzle.jpg,https://ersanails.com/collections/all/products/dazzle
Malibu Beach,$64.99 USD,,product_images/Malibu_Beach.jpg,https://ersanails.com/collections/all/products/malibu-beach
Cool Water,$44.99 USD,,product_images/Cool_Water.jpg,https://ersanails.com/collections/all/products/cool-water
Orange Margarita,$49.99 USD,,product_images/Orange_Margarita.jpg,https://ersanails.com/collections/all/products/orange-margarita
Dreamy Blossom,$44.99 USD,,product_images/Dreamy_Blossom.jpg,https://ersanails.com/collections/all/products/dreamy-blossom
24k,$34.99 USD$39.99 USD,,product_images/24k.jpg,https://ersanails.com/collections/all/products/24k
Ersa Ombré Series,$29.99 USD,,product_images/Ersa_Ombré_Series.jpg,https://ersanails.com/collections/all/products/ersa-ombre-series
Ersa C02 - Rosy,$29.99 USD,,product_images/Ersa_C02_-_Rosy.jpg,https://ersanails.com/collections/all/products/ersa-c02-rosy
Burning Passion,$49.99 USD,,product_images/Burning_Passion.jpg,https://ersanails.com/collections/all/products/burning-passion
Sunburn,$54.99 USD,,product_images/Sunburn.jpg,https://ersanails.com/collections/all/products/sunburn
Ersa N09 - Honey,$29.99 USD,,product_images/Ersa_N09_-_Honey.jpg,https://ersanails.com/collections/all/products/ersa-n09-honey
Golden Dreams,$39.99 USD,,product_images/Golden_Dreams.jpg,https://ersanails.com/collections/all/products/golden-dreams
Beach It's Time,$49.99 USD$54.99 USD,,product_images/Beach_Its_Time.jpg,https://ersanails.com/collections/all/products/beach-its-time
Aperol Spritz,$39.99 USD$44.99 USD,,product_images/Aperol_Spritz.jpg,https://ersanails.com/collections/all/products/aperol-spritz
Bubbly Splash,$49.99 USD,,product_images/Bubbly_Splash.jpg,https://ersanails.com/collections/all/products/bubbly-splash
Bloom like Roses,$49.99 USD,,product_images/Bloom_like_Roses.jpg,https://ersanails.com/collections/all/products/bloom-like-roses
Hailey 02 - Cinderella,$34.99 USD,,product_images/Hailey_02_-_Cinderella.jpg,https://ersanails.com/collections/all/products/hailey-02-cinderella
Hailey 03 - Barbie,$34.99 USD,,product_images/Hailey_03_-_Barbie.jpg,https://ersanails.com/collections/all/products/hailey-03-barbie
Flowerbomb,$39.99 USD,,product_images/Flowerbomb.jpg,https://ersanails.com/collections/all/products/flowerbomb
Blush Bloom,$44.99 USD,,product_images/Blush_Bloom.jpg,https://ersanails.com/collections/all/products/blush-bloom
Summer Bay,$54.99 USD,,product_images/Summer_Bay.jpg,https://ersanails.com/collections/all/products/summer-bay
Oceanic Odyssey,$39.99 USD$44.99 USD,,product_images/Oceanic_Odyssey.jpg,https://ersanails.com/collections/all/products/oceanic-odyssey
Wildest Dreams,$49.99 USD$59.99 USD,,product_images/Wildest_Dreams.jpg,https://ersanails.com/collections/all/products/wildest-dreams
Stardust,$39.99 USD$44.99 USD,,product_images/Stardust.jpg,https://ersanails.com/collections/all/products/stardust-1
